user,item,label
12278,4289,1
12278, 3541,0
5733,7963,1
5733, 15737,0
27186,2279,1
27186,10451,0
47043,19537,1
47043, 17444,0
13492,8874,1
13492, 1974,0
11210,10631,1
11210, 2631,0
33434,6539,1
33434, 6124,0
15865,16501,1
15865, 3627,0
12202,18321,1
12202, 17379,0
23900,19416,1
23900, 17954,0
19049,16569,1
19049, 14903,0
11179,18781,1
11179, 11536,0
14777,3271,1
14777, 5526,0
6104,2825,1
6104, 14716,0
24300,14173,1
24300, 19105,0
49336,4865,1
49336, 1893,0
41231,11393,1
41231, 19591,0
27718,5145,1
27718, 18136,0
3076,14834,1
3076, 18017,0
5696,9634,1
5696, 2609,0
23194,6539,1
23194, 11552,0
17799,5371,1
17799, 11321,0
44385,18617,1
44385, 6938,0
14930,13593,1
14930, 10094,0
39766,12254,1
39766, 9696,0
44416,8409,1
44416, 15270,0
44856,15279,1
44856, 14882,0
20672,13358,1
20672, 9419,0
25230,14227,1
25230, 11860,0
13160,950,1
13160, 15913,0
42914,19549,1
42914, 2486,0
31279,19274,1
31279, 7385,0
39094,15174,1
39094, 18434,0
6213,1896,1
6213, 7462,0
10078,5554,1
10078, 9860,0
45051,5552,1
45051, 16513,0
48520,16030,1
48520, 19194,0
35501,12492,1
35501, 10080,0
32051,10347,1
32051, 7008,0
9970,12932,1
9970, 10589,0
22823,11202,1
22823,12637,0
4356,12203,1
4356, 17898,0
45172,19305,1
45172, 9866,0
44524,7105,1
44524, 19059,0
39963,17859,1
39963, 5028,0
25221,16385,1
25221, 2097,0
20434,7629,1
20434, 14833,0
24901,18097,1
24901, 7662,0
29218,9336,1
29218, 14702,0
9483,6156,1
9483, 7846,0
8903,14414,1
8903, 2032,0
29660,3313,1
29660, 7191,0
10649,12613,1
10649, 6190,0
11219,6910,1
11219, 4338,0
22436,14988,1
22436, 12860,0
16766,939,1
16766, 14243,0
20131,3947,1
20131, 16095,0
217,8181,1
217, 16227,0
46284,2969,1
46284, 8275,0
5140,3614,1
5140, 8068,0
27423,11806,1
27423,2033,0
42057,1990,1
42057, 3609,0
154,7192,1
154, 15540,0
4426,18617,1
4426, 15707,0
27817,5365,1
27817, 6962,0
10290,19627,1
10290, 10201,0
15028,17178,1
15028, 16912,0
9508,11881,1
9508, 15893,0
1027,4365,1
1027, 4188,0
34826,15083,1
34826, 8022,0
35448,14054,1
35448, 11647,0
29306,15104,1
29306, 18920,0
26409,15072,1
26409, 9165,0
25787,73,1
25787,15430,0
42577,2204,1
42577, 9072,0
16400,15927,1
16400, 18434,0
31928,12403,1
31928, 5957,0
25921,10696,1
25921, 15463,0
5201,14124,1
5201, 5880,0
41473,19130,1
41473, 8716,0
12404,3241,1
12404, 9501,0
49659,4438,1
49659, 16731,0
11918,13660,1
11918, 15345,0
35578,10830,1
35578, 17398,0
24304,16209,1
24304, 10498,0
48139,8085,1
48139,4558,0
8512,14551,1
8512, 3198,0
19979,14928,1
19979, 3312,0
32732,156,1
32732, 9966,0
28409,14951,1
28409, 15709,0
15267,2954,1
15267, 15764,0
45193,13131,1
45193, 19476,0
9285,11139,1
9285, 14727,0
31063,17740,1
31063, 12675,0
9184,16549,1
9184, 16084,0
26579,13738,1
26579, 5315,0
11800,18224,1
11800, 775,0
41222,9857,1
41222, 17974,0
35636,15881,1
35636, 8418,0
39048,15763,1
39048, 14094,0
27487,9659,1
27487, 16932,0
37257,4630,1
37257, 2677,0
30219,1440,1
30219, 14988,0
2243,5645,1
2243, 8685,0
24877,16475,1
24877, 14152,0
45368,12896,1
45368, 9672,0
2411,17269,1
2411, 12112,0
11448,8844,1
11448, 19107,0
43015,3694,1
43015, 4277,0
7407,9366,1
7407,4083,0
7300,5522,1
7300, 19530,0
5682,4680,1
5682, 7263,0
27493,9929,1
27493, 11743,0
40159,3411,1
40159, 17798,0
19697,2393,1
19697, 4731,0
14612,1270,1
14612, 551,0
18305,503,1
18305, 1091,0
47855,17900,1
47855, 7615,0
1781,14034,1
1781, 18833,0
21463,10559,1
21463, 3080,0
34822,2335,1
34822, 2444,0
29643,10095,1
29643, 5323,0
44436,17881,1
44436, 9756,0
4633,14223,1
4633, 3673,0
33486,6265,1
33486, 18250,0
22210,16964,1
22210, 16220,0
27556,11744,1
27556, 14419,0
1124,12218,1
1124, 15094,0
36262,7987,1
36262, 1571,0
36195,10867,1
36195, 5750,0
1151,9513,1
1151, 2518,0
43255,11097,1
43255, 19182,0
41986,2443,1
41986, 13427,0
38074,1111,1
38074, 11670,0
47145,16255,1
47145, 5493,0
29853,816,1
29853, 16214,0
15400,12341,1
15400, 7704,0
15693,863,1
15693, 5538,0
41475,2443,1
41475,5434,0
28881,504,1
28881, 12717,0
35590,6806,1
35590, 11966,0
5189,11889,1
5189, 16285,0
44111,14666,1
44111, 18365,0
29973,11892,1
29973,1510,0
5368,5203,1
5368, 18106,0
22453,10323,1
22453, 17217,0
48578,11920,1
48578,19243,0
23975,12150,1
23975, 1182,0
45864,19654,1
45864, 7095,0
6103,4138,1
6103, 68,0
42254,16382,1
42254, 4019,0
8891,2698,1
8891, 7766,0
30053,870,1
30053, 258,0
31930,2969,1
31930, 18606,0
8460,9512,1
8460, 2163,0
3704,3947,1
3704,6550,0
9094,12878,1
9094, 14408,0
41052,2157,1
41052, 5082,0
16608,12889,1
16608,279,0
18782,3614,1
18782,8321,0
5672,7586,1
5672, 2667,0
8615,11139,1
8615, 10444,0
2236,4138,1
2236, 6600,0
32748,17831,1
32748, 13622,0
48398,13683,1
48398, 17785,0
28937,5898,1
28937, 12196,0
32401,11509,1
32401, 12678,0
34192,11327,1
34192,16405,0
19988,15577,1
19988, 1925,0
30494,9042,1
30494, 19015,0
22488,15087,1
22488, 8643,0
36696,19087,1
36696, 8512,0
34018,14112,1
34018, 11012,0
46767,16827,1
46767, 8519,0
36411,10950,1
36411, 19100,0
27429,3785,1
27429, 8096,0
27548,8660,1
27548, 13528,0
9830,2443,1
9830, 5525,0
12377,12358,1
12377, 2479,0
2394,3877,1
2394, 9352,0
33629,9512,1
33629, 1973,0
29863,9665,1
29863, 6374,0
40885,1612,1
40885, 17401,0
26190,10008,1
26190, 9999,0
41088,14343,1
41088, 15384,0
26523,8996,1
26523, 16420,0
25295,19537,1
25295,11307,0
32334,18860,1
32334, 3341,0
6130,6738,1
6130, 13905,0
30813,2099,1
30813, 9808,0
15737,3988,1
15737, 9369,0
20836,1575,1
20836, 17538,0
47951,2443,1
47951, 7252,0
6901,9797,1
6901, 13080,0
1239,7431,1
1239, 7570,0
23971,326,1
23971, 580,0
12692,13200,1
12692, 4924,0
2338,17416,1
2338, 13687,0
5149,7038,1
5149, 10437,0
3372,8387,1
3372, 1505,0
41446,916,1
41446,13510,0
36193,5737,1
36193, 3365,0
43160,4921,1
43160, 14493,0
1495,8262,1
1495, 10974,0
14218,6014,1
14218, 1501,0
38135,4986,1
38135, 11692,0
3602,15585,1
3602, 17176,0
41543,8271,1
41543, 11708,0
45388,17928,1
45388, 11632,0
15296,18516,1
